<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
정답이다	정답/ncn+이/jp+다/ef
.	./sf
가상의	가상/ncn+의/jcm
우주	우주/ncn
당구	당구/ncn
주위에	주위/ncn+에/jca
별이나	별/ncn+이나/jcj
행성이	행성/ncn+이/jcs
없는	없/paa+는/etm
텅	텅/mag
빈	비/paa+ㄴ/etm
우주	우주/ncn
공간을	공간/ncn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
이	이/mmd
텅	텅/mag
빈	비/paa+ㄴ/etm
우주	우주/ncn
공간에	공간/ncn+에/jca
당구공과	당구/ncn+공/ncn+과/jcj
큐대를	큐대/ncn+를/jco
가진	가지/pvg+ㄴ/etm
우주인이	우주/ncn+인/xsn+이/jcs
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
텅	텅/mag
빈	비/paa+ㄴ/etm
우주	우주/ncn
공간에서	공간/ncn+에서/jca
큐로	큐/ncn+로/jca
당구공을	당구/ncn+공/ncn+을/jco
정통으로	정통/ncn+으로/jca
힘껏	힘껏/mag
쳤다	치/pvg+었/ep+다/ef
.	./sf
그	그/npd
후	후/ncn
이	이/mmd
공은	공/ncn+은/jxc
어떻게	어떻/pad+게/ecs
움직일까	움직이/pvg+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
큐를	큐/ncn+를/jco
통해	통하/pvg+어/ecs
얻은	얻/pvg+은/etm
속력으로	속력/ncn+으로/jca
일정하게	일정/ncps+하/xsm+게/ecs
끝없이	끝/ncn+없/paa+이/xsa
나아갈거야	나아가/pvg+ㄹ거야/ef
,	,/sp
무엇보다	무엇/npd+보다/jca
아무	아무/mmd
방해물이	방해/ncn+물/xsn+이/jcs
없잖아	없/paa+잖아/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
방해물이	방해/ncn+물/xsn+이/jcs
없으니까	없/paa+으니까/ecs
속력이	속력/ncn+이/jcs
끝없이	끝/ncn+없/paa+이/xsa
계속	계속/mag
커지지	커지/pvg+지/ecx
않을까	않/px+을까/ef
?	?/sf
곰곰이	곰곰이/nq
:	:/sp
정지해	정지/ncpa+하/xsv+어/ecx
있던	있/px+던/etm
공이	공/ncn+이/jcs
움직이기	움직이/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
것은	것/nbn+은/jxc
공	공/ncn
속에	속/ncn+에/jca
힘이	힘/ncn+이/jcs
주어졌기	주/pv+어/ecx+지/px+었/ep+기/etn
때문이야	때문/nbn+이/jp+야/ef
,	,/sp
그런데	그런데/maj
그	그/mmd
힘은	힘/ncn+은/jxc
언젠가는	언제/npp+ㄴ가/ef
소모되어	소모/ncpa+되/xsv+어/ecx
사라질	사라지/pvg+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
그러면	그러면/maj
공은	공/ncn+은/jxc
다시	다시/mag
멈출	멈추/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
힘이	힘/ncn+이/jcs
사라질	사라지/pvg+ㄹ/etm
이유는	이유/ncn+는/jxc
없잖아	없/paa+잖아/ef
?	?/sf
물체에	물체/ncn+에/jca
힘이	힘/ncn+이/jcs
있는	있/paa+는/etm
한	한/nbn
가속되는	가속/ncpa+되/xsv+는/etm
것이므로	것/nbn+이/jp+므로/ecs
속력이	속력/ncn+이/jcs
계속	계속/mag
커질	커지/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
홀쭉이	홀쭉이/nq
말처럼	말/ncn+처럼/jca
단순히	단순/ncn+히/xsa
방해물이	방해/ncn+물/xsn+이/jcs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
속력이	속력/ncn+이/jcs
커지는	커지/pvg+는/etm
것이	것/nbn+이/jcc
아니고	아니/paa+고/ecc
,	,/sp
물체	물체/ncn
속에	속/ncn+에/jca
그	그/mmd
힘이	힘/ncn+이/jcs
들어	들/pvg+어/ecx
있는	있/px+는/etm
거지	거/nbn+지/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
글쎄	글쎄/ii
,	,/sp
내	내/npp
생각에는	생각/ncn+에/jca+는/jxc
일상적인	일상/ncn+적/xsn+이/jp+ㄴ/etm
경험과	경험/ncn+과/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
결과가	결과/ncn+가/jcs
나올	나오/pvg+ㄹ/etm
것	것/nbn
같아	같/paa+아/ef
.	./sf
처음에는	처음/ncn+에/jca+는/jxc
속력이	속력/ncn+이/jcs
커지다가	커지/pvg+다가/ecs
일정한	일정/ncps+하/xsm+ㄴ/etm
속력이	속력/ncn+이/jcc
되겠지	되/pvg+겠/ep+지/ef
.	./sf
그리고	그리고/maj
결국은	결국/ncn+은/jxc
정지하는	정지/ncpa+하/xsv+는/etm
거지	것/nbn+이/jp+지/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
흔히	흔히/mag
운동	운동/ncn
제	제/xp
1	1/nno
법칙이라고	법칙/ncn+이/jp+라고/ecs
하는	하/pvg+는/etm
관성의	관성/ncn+의/jcm
법칙에	법칙/ncn+에/jca
관한	관하/pvg+ㄴ/etm
문제다	문제/ncn+다/efa
.	./sf
즉	즉/mag
외부에서	외부/ncn+에서/jca
힘이	힘/ncn+이/jcs
작용하지	작용/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
한	한/nbn
,	,/sp
운동	운동/ncn
상태는	상태/ncn+는/jxc
계속	계속/mag
유지되나	유지/ncpa+되/xsv+나/ecs
.	./sf
처음에	처음/ncn+에/jca
큐로	큐/ncn+로/jca
당구공을	당구/ncn+공/ncn+을/jco
치는	치/pvg+는/etm
동안	동안/ncn
,	,/sp
다시	다시/mag
말해	말/ncpa+하/xsv+어/ecx
큐와	큐/ncn+와/jcj
공이	공/ncn+이/jcs
접촉해서	접촉/ncpa+하/xsv+어서/ecs
힘을	힘/ncn+을/jco
주고받는	주/pvg+고/ecs+받/pvg+는/etm
순간에는	순간/ncn+에/jca+는/jxc
속도의	속도/ncn+의/jcm
변화를	변화/ncn+를/jco
가져온다	가지/pvg+어/ecs+오/pvg+ㄴ다/ef
.	./sf
그	그/mmd
결과로	결과/ncn+로/jca
공의	공/ncn+의/jcm
속력은	속력/ncn+은/jxc
커진다	커지/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
큐와	큐/ncn+와/jcj
공이	공/ncn+이/jcs
떨어진	떨어지/pvg+ㄴ/etm
순간부터는	순간/ncn+부터/jxc+는/jxc
공과	공/ncn+과/jcj
큐가	큐/ncn+가/jcs
힘을	힘/ncn+을/jco
주고받을	주/pvg+고/ecs+받/pvg+을/etm
수	수/nbn
없게	없/paa+게/ecs
되며	되/pvg+며/ecc
,	,/sp
이때부터	이/mmd+때/ncn+부터/jxc
공은	공/ncn+은/jxc
등속	등속/ncn
직선	직선/ncn
운동을	운동/ncn+을/jco
하게	하/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
똘똘이가	똘똘이/nq+가/jcs
말한	말/ncpa+하/xsv+ㄴ/etm
것처럼	것/nbn+처럼/jca
힘이	힘/ncn+이/jcs
물체	물체/ncn
속에	속/ncn+에/jca
들어	들/pvg+어/ecx
있다는	있/px+다/ef+는/etm
생각은	생각/ncn+은/jxc
타당하지	타당/ncps+하/xsm+지/ecx
않다	않/px+다/ef
.	./sf
힘은	힘/ncn+은/jxc
어떤	어떤/mmd
성질이나	성질/ncn+이나/jcj
물질이	물질/ncn+이/jcc
아니며	아니/paa+며/ecs
,	,/sp
운동	운동/ncn
상태를	상태/ncn+를/jco
변화시키는	변화/ncpa+시키/xsv+는/etm
원인으로	원인/ncn+으로/jca
'	'/sl
작용	작용/ncn
'	'/sr
하는	하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
문제에서	문제/ncn+에서/jca
텅	텅/mag
빈	비/paa+ㄴ/etm
우주	우주/ncn
공간으로	공간/ncn+으로/jca
가정한	가정/ncpa+하/xsv+ㄴ/etm
이유는	이유/ncn+는/jxc
주변에	주변/ncn+에/jca
별과	별/ncn+과/jct
같은	같/paa+은/etm
물체가	물체/ncn+가/jcs
있으면	있/paa+으면/ecs
중력이	중력/ncn+이/jcs
작용하여	작용/ncpa+하/xsv+여/ecs
운동	운동/ncn
상태를	상태/ncn+를/jco
변화시키기	변화/ncpa+시키/xsv+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
사실	사실/ncn
모든	모든/mma
힘의	힘/ncn+의/jcm
근원은	근원/ncn+은/jxc
물체이다	물체/ncn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
정답은	정답/ncn+은/jxc
차돌이	차돌이/nq
.	./sf
용수철로	용수철/ncn+로/jca
끄는	끌/pvg+는/etm
운동	운동/ncn
요즘에는	요즘/ncn+에/jca+는/jxc
꽤	꽤/mag
세련돼	세련/ncpa+되/xsv+어/ecx
보이는	보이/px+는/etm
전자저울이	전자/ncn+저울/ncn+이/jcs
많지만	많/paa+지만/ecs
,	,/sp
전자저울이	전자/ncn+저울/ncn+이/jcs
나오기	나오/pvg+기/etn
전에는	전/ncn+에/jca+는/jxc
흔히	흔히/mag
용수철	용수철/ncn
저울을	저울/ncn+을/jco
썼다	쓰/pvg+었/ep+다/ef
.	./sf
그	그/mmd
때문에	때문/nbn+에/jca
'	'/sl
저울	저울/ncn
'	'/sr
하면	하/pvg+면/ecs
용수철을	용수철/ncn+을/jco
떠올리곤	떠올리/pvg+곤/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
저울에는	저울/ncn+에/jca+는/jxc
왜	왜/mag
용수철이	용수철/ncn+이/jcs
필요했을까	필요/ncps+하/xsm+었/ep+을까/ef
?	?/sf
그	그/mmd
이유는	이유/ncn+는/jxc
용수철에	용수철/ncn+에/jca
힘을	힘/ncn+을/jco
가하면	가하/pvg+면/ecs
그	그/mmd
힘에	힘/ncn+에/jca
비례해서	비례/ncpa+하/xsv+어서/ecs
용수철은	용수철/ncn+은/jxc
늘어나는	늘어나/pvg+는/etm
성질이	성질/ncn+이/jcs
있기	있/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
자	자/ii
,	,/sp
그렇다면	그렇다면/maj
이	이/mmd
성질을	성질/ncn+을/jco
이용해서	이용/ncpa+하/xsv+어서/ecs
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
상황을	상황/ncn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
그림처럼	그림/ncn+처럼/jca
마찰이	마찰/ncn+이/jcs
거의	거의/mag
없는	없/paa+는/etm
매끄러운	매끄럽/paa+ㄴ/etm
바닥에서	바닥/ncn+에서/jca
용수철의	용수철/ncn+의/jcm
길이가	길이/ncn+가/jcs
일정한	일정/ncps+하/xsm+ㄴ/etm
정도로	정도/ncn+로/jca
늘어나도록	늘어나/pvg+도록/ecs
잡아끈다고	잡/pvg+아/ecs+끌/pvg+ㄴ다고/ecs
하자	하/pvg+자/ef
.	./sf
이때	이/mmd+때/ncn
용수철의	용수철/ncn+의/jcm
늘어난	늘어나/pvg+ㄴ/etm
길이가	길이/ncn+가/jcs
일정하도록	일정/ncps+하/xsm+도록/ecs
유지하면서	유지/ncpa+하/xsv+면서/ecs
계속	계속/mag
잡아당기면	잡/pvg+아/ecs+당기/pvg+면/ecs
용수철에	용수철/ncn+에/jca
매달린	매달리/pvg+ㄴ/etm
물체의	물체/ncn+의/jcm
운동은	운동/ncn+은/jxc
어떻게	어떻/pad+게/ecs
될까	되/pvg+ㄹ까/ef
?	?/sf
차돌이	차돌이/nq
:'	:/sp+'/sl
용수철의	용수철/ncn+의/jcm
길이가	길이/ncn+가/jcs
일정하게	일정/ncps+하/xsm+게/ecs
늘어난	늘어나/pvg+ㄴ/etm
상태	상태/ncn
'	'/sr
라는	라/ef+는/etm
것은	것/nbn+은/jxc
,	,/sp
일정한	일정/ncps+하/xsm+ㄴ/etm
힘이	힘/ncn+이/jcs
계속	계속/mag
작용한다는	작용/ncpa+하/xsv+ㄴ다/ef+는/etm
뜻이다	뜻/ncn+이/jp+다/ef
.	./sf
그러니까	그러니까/maj
속력이	속력/ncn+이/jcs
계속	계속/mag
증가하게	증가/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
용수철에	용수철/ncn+에/jca
의해서	의하/pvg+어서/ecs
일정하게	일정/ncps+하/xsm+게/ecs
힘을	힘/ncn+을/jco
받는	받/pvg+는/etm
것은	것/nbn+은/jxc
틀림없지만	틀림/ncn+없/paa+지만/ecs
,	,/sp
속력이	속력/ncn+이/jcs
계속	계속/mag
증가하지는	증가/ncpa+하/xsv+지/ecx+는/etm
않는다	않/px+는다/ef
.	./sf
이	이/mmd
물체는	물체/ncn+는/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
힘을	힘/ncn+을/jco
받으므로	받/pvg+으므로/ecs
일정한	일정/ncps+하/xsm+ㄴ/etm
속력으로	속력/ncn+으로/jca
움직일	움직이/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
일정한	일정/ncps+하/xsm+ㄴ/etm
힘이	힘/ncn+이/jcs
작용하면	작용/ncpa+하/xsv+면/ecs
처음에는	처음/ncn+에/jca+는/jxc
속력이	속력/ncn+이/jcs
계속	계속/mag
커지다가	커지/pvg+다가/ecs
,	,/sp
그	그/mmd
다음에는	다음/ncn+에/jca+는/jxc
속력이	속력/ncn+이/jcs
더	더/mag
커지지	커지/pvg+지/ecx
않게	않/px+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
용수철의	용수철/ncn+의/jcm
성질에	성질/ncn+에/jca
의해	의하/pvg+어/ecs
물체의	물체/ncn+의/jcm
속력은	속력/ncn+은/jxc
줄었다가	줄/pvg+었/ep+다가/ecs
늘었다가	늘/pvg+었/ep+다가/ecs
하는	하/pvg+는/etm
운동을	운동/ncn+을/jco
계속	계속/mag
할	하/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
마찰이	마찰/ncn+이/jcs
없는	없/paa+는/etm
바닥에서는	바닥/ncn+에서/jca+는/jxc
물체의	물체/ncn+의/jcm
속력이	속력/ncn+이/jcs
변할	변하/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
물체는	물체/ncn+는/jxc
관성에	관성/ncn+에/jca
의해서	의하/pvg+어서/ecs
움직이므로	움직이/pvg+므로/ecs
용수철의	용수철/ncn+의/jcm
길이가	길이/ncn+가/jcs
늘어난	늘어나/pvg+ㄴ/etm
것과는	것/nbn+과/jct+는/jxc
관계없이	관계/ncn+없/paa+이/xsa
일정한	일정/ncps+하/xsm+ㄴ/etm
속력으로	속력/ncn+으로/jca
움직이게	움직이/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
용수철이	용수철/ncn+이/jcs
일정한	일정/ncps+하/xsm+ㄴ/etm
길이로	길이/ncn+로/jca
늘어난	늘어나/pvg+ㄴ/etm
것은	것/nbn+은/jxc
물체에	물체/ncn+에/jca
일정한	일정/ncps+하/xsm+ㄴ/etm
힘이	힘/ncn+이/jcs
작용한다는	작용/ncpa+하/xsv+ㄴ다/ef+는/etm
121196400 
것을	것/nbn+을/jco
의미한다	의미/ncpa+하/xsv+ㄴ다/ef
.	./sf
마찰이	마찰/ncn+이/jcs
없으므로	없/paa+으므로/ecs
힘을	힘/ncn+을/jco
준	주/pvg+ㄴ/etm
방향으로	방향/ncn+으로/jca
일정한	일정/ncps+하/xsm+ㄴ/etm
가속도가	가속도/ncn+가/jcs
생긴다	생기/pvg+ㄴ다/ef
.	./sf
일정한	일정/ncps+하/xsm+ㄴ/etm
가속도란	가속도/ncn+란/jxc
매순간	매/mma+순간/ncn
속력이	속력/ncn+이/jcs
일정하게	일정/ncps+하/xsm+게/ecs
증가한다는	증가/ncpa+하/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
의미한다	의미/ncpa+하/xsv+ㄴ다/ef
.	./sf
따라서	따라서/maj
속력은	속력/ncn+은/jxc
계속	계속/mag
커지게	커지/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
그러면	그러면/maj
얼마만큼씩	얼마/ncn+만큼/nbn+씩/xsn
속력이	속력/ncn+이/jcs
커질까	커지/pvg+ㄹ까/ef
?	?/sf
그것은	그것/npd+은/jxc
물체의	물체/ncn+의/jcm
질량과	질량/ncn+과/jcj
용수철에	용수철/ncn+에/jca
나타난	나타나/pvg+ㄴ/etm
힘의	힘/ncn+의/jcm
크기에	크기/ncn+에/jca
관계된다	관계/ncpa+되/xsv+ㄴ다/ef
.	./sf
만일	만일/mag
물체의	물체/ncn+의/jcm
질량이	질량/ncn+이/jcs
1	1/nnc
kg	kg/su
이고	이/jp+고/ecc
,	,/sp
용수철에	용수철/ncn+에/jca
의해	의하/pvg+어/ecx
나타난	나타나/pvg+ㄴ/etm
힘	힘/ncn
(	(/sl
이것은	이것/npd+은/jxc
결국	결국/mag
사람이	사람/ncn+이/jcs
끈	끌/pvg+ㄴ/etm
힘이겠지만	힘/ncn+이/jp+겠/ep+지만/ecs
)	)/sr
이	이/jcs
10	10/nnc
N	N/su
이라면	이/jp+라면/ecs
가속도는	가속도/ncn+는/jxc
10	10/nnc
m	m/su
/	//sp
s	s/su
이	이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
이것은	이것/npd+은/jxc
유명한	유명/ncps+하/xsm+ㄴ/etm
뉴턴	뉴턴/nq
제	제/xp
2	2/nno
법칙인	법칙/ncn+이/jp+ㄴ/etm
F	F/f
=	=/sy
ma	ma/f
에서	에서/jca
a	a/f
=	=/sy
으로	으로/jca
구한다	구하/pvg+ㄴ다/ef
.	./sf
10	10/nnc
m	m/su
/	//sp
s	s/su
의	의/jcm
가속도란	가속도/ncn+란/jxc
1	1/nnc
초에	초/nbu+에/jca
10	10/nnc
m	m/su
/	//sp
s	s/su
의	의/jcm
속력이	속력/ncn+이/jcs
계속	계속/mag
증가한다는	증가/ncpa+하/xsv+ㄴ다/ef+는/etm
뜻이다	뜻/ncn+이/jp+다/ef
.	./sf
이때	이/mmd+때/ncn
물체의	물체/ncn+의/jcm
속력이	속력/ncn+이/jcs
증가하면	증가/ncpa+하/xsv+면/ecs
그에	그/npd+에/jca
따라	따르/pvg+아/ecs
물체의	물체/ncn+의/jcm
운동	운동/ncn
에너지가	에너지/ncn+가/jcs
증가한다는	증가/ncpa+하/xsv+ㄴ다/ef+는/etm
말이	말/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
이	이/mmd
에너지는	에너지/ncn+는/jxc
어디서	어디/npd+서/jca
온	오/pvg+ㄴ/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
그것은	그것/npd+은/jxc
물론	물론/mag
물체를	물체/ncn+를/jco
끄는	끌/pvg+는/etm
사람이	사람/ncn+이/jcs
한	하/pvg+ㄴ/etm
일로부터	일/ncn+로/jca+부터/jxc
온	오/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
용수철을	용수철/ncn+을/jco
일정하게	일정/ncps+하/xsm+게/ecs
늘어나도록	늘어나/pvg+도록/ecs
유지하면서	유지/ncpa+하/xsv+면서/ecs
계속해서	계속/ncpa+하/xsv+어서/ecs
물체를	물체/ncn+를/jco
끄는	끌/pvg+는/etm
일은	일/ncn+은/jxc
어려운	어렵/paa+ㄴ/etm
일임을	일/ncn+이/jp+ㅁ/etn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
시간이	시간/ncn+이/jcs
지남에	지나/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
점점	점점/mag
더	더/mag
큰	크/paa+ㄴ/etm
에너지를	에너지/ncn+를/jco
공급해야	공급/ncpa+하/xsv+어야/ecs
하기	하/px+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
만약	만약/mag
마찰이	마찰/ncn+이/jcs
있다면	있/paa+다면/ecs
어떻게	어떻/pad+게/ecs
될까	되/pvg+ㄹ까/ef
?	?/sf
그런	그런/mmd
경우는	경우/ncn+는/jxc
사람이	사람/ncn+이/jcs
용수철을	용수철/ncn+을/jco
끄는	끌/pvg+는/etm
힘에서	힘/ncn+에서/jca
마찰력을	마찰/ncn+력/xsn+을/jco
뺀	빼/pvg+ㄴ/etm
만큼을	만큼/nbn+을/jco
물체의	물체/ncn+의/jcm
가속도로	가속도/ncn+로/jca
계산하면	계산/ncpa+하/xsv+면/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
운동	운동/ncn
마찰력은	마찰/ncn+력/xsn+은/jxc
일정한	일정/ncps+하/xsm+ㄴ/etm
값이므로	값/ncn+이/jp+므로/ecs
가속	가속/ncn
운동을	운동/ncn+을/jco
시작하게	시작/ncpa+하/xsv+게/ecs
되면서부터는	되/pvg+면서/ecs+부터/jxc+는/jxc
마찰이	마찰/ncn+이/jcs
없을	없/paa+을/etm
때와	때/ncn+와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
상황이	상황/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
차돌이의	차돌이/nq+의/jcm
생각이	생각/ncn+이/jcs
옳다	옳/paa+다/ef
.	./sf
공	공/ncn
던져	던지/pvg+어/ecx
올리기	올리/pvg+기/etn
1	1/nno
넓은	넓/paa+은/etm
운동장과	운동장/ncn+과/jcj
푸른	푸르/paa+ㄴ/etm
하늘	하늘/ncn
,	,/sp
그리고	그리고/maj
공이	공/ncn+이/jcs
한	한/nnc
개	개/nbu
있다	있/paa+다/ef
.	./sf
온	온/mma
힘을	힘/ncn+을/jco
다해서	다하/pvg+어서/ecs
그	그/mmd
공을	공/ncn+을/jco
수직으로	수직/ncn+으로/jca
높이	높/paa+이/xsa
던져	던지/pvg+어/ecs
올린다	올리/pvg+ㄴ다/ef
.	./sf
까마득히	까마득/ncn+히/xsa
올라갔다고	오르/pvg+아/ecs+가/pvg+았/ep+다고/ecs
생각하면서	생각/ncpa+하/xsv+면서/ecs
그	그/mmd
공을	공/ncn+을/jco
보고	보/pvg+고/ecx
있으면	있/px+으면/ecs
잠깐	잠깐/ncn
멈췄다고	멈추/pvg+었/ep+다고/ecs
순간	느끼/pvg+ㄴ/etm+순간/ncn
,	,/sp
어느새	어느/mmd+새/nbn
공은	공/ncn+은/jxc
무척	무척/mag
빠르게	빠르/paa+게/ecs
내려온다	내리/pvg+어/ecs+오/pvg+ㄴ다/ef
.	./sf
고개를	고개/ncn+를/jco
잔뜩	잔뜩/mag
뒤로	뒤/ncn+로/jca
젖히고	젖히/pvg+고/ecx
받으려는	받/pvg+으려/ecs+는/etm
순간	순간/ncn
,	,/sp
공은	공/ncn+은/jxc
야속하게도	야속/ncps+하/xsm+게/ecs+도/jxc
나를	나/npp+를/jco
비켜	비키/pvg+어/ecs
가기	가/pvg+기/etn
일쑤다	일쑤/ncn+다/ef
.	./sf
만약	만약/mag
그	그/mmd
공이	공/ncn+이/jcs
야구공이라면	야구/ncn+공/ncn+이/jp+라면/ecs
맨손으로	맨손/ncn+으로/jca
잡기는	잡/pvg+기/etn+는/jxc
더욱	더욱/mag
어려워진다	어렵/paa+어/ecx+지/px+ㄴ다/ef
121222900 
.	./sf
공은	공/ncn+은/jxc
내가	내/npp+가/jcs
온	온/mma
힘을	힘/ncn+을/jco
다해	다하/pvg+어/ecx
던진	던지/pvg+ㄴ/etm
바로	바로/mag
그	그/mmd
속력으로	속력/ncn+으로/jca
되돌아오기	되돌/pvg+아/ecs+오/pvg+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
푸른	푸르/paa+ㄴ/etm
가을	가을/ncn
하늘에	하늘/ncn+에/jca
말랑말랑한	말랑말랑/mag+하/xsm+ㄴ/etm
고무공을	고무/ncn+공/ncn+을/jco
던지며	던지/pvg+며/ecs
운동하는	운동/ncpa+하/xsv+는/etm
것도	것/nbn+도/jxc
머리를	머리/nbn+를/jco
상쾌하게	상쾌/ncps+하/xsm+게/ecx
하는	하/px+는/etm
좋은	좋/paa+은/etm
방법이	방법/ncn+이/jcc
아닐까	아니/paa+ㄹ까/ef
?	?/sf
그러면	그러면/maj
,	,/sp
공이	공/ncn+이/jcs
이러한	이러하/pad+ㄴ/etm
운동을	운동/ncn+을/jco
하는	하/pvg+는/etm
원인은	원인/ncn+은/jxc
무엇일까	무엇/npp+이/jp+ㄹ까/ef
?	?/sf
우선	우선/mag
공이	공/ncn+이/jcs
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
있을	있/px+을/etm
때의	때/ncn+의/jcm
상황에	상황/ncn+에/jca
대해	대하/pvg+어/ecs
,	,/sp
그	그/mmd
원인과	원인/ncn+과/jcj
과정을	과정/ncn+을/jco
잘	잘/mag
설명해	설명/ncpa+하/xsv+어/ecx
본다면	보/px+ㄴ다면/ecs
?	?/sf
(	(/sl
단	단/maj
,	,/sp
공기의	공기/ncn+의/jcm
저항은	저항/ncn+은/jxc
생각하지	생각/ncpa+하/xsv+지/ecx
않기로	않/px+기/etn+로/jca
한다	하/pvg+ㄴ다/ef
.)	./sf+)/sr
차돌이	차돌이/nq
:	:/sp
공이	공/ncn+이/jcs
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
이유는	이유/ncn+는/jxc
사람이	사람/ncn+이/jcs
힘을	힘/ncn+을/jco
주었기	주/pvg+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
던진	던지/pvg+ㄴ/etm
힘이	힘/ncn+이/jcs
남아	남/pvg+아/ecx
있는	있/px+는/etm
동안	동안/ncn
공은	공/ncn+은/jxc
위로	위/ncn+로/jca
올라간다	오르/pvg+아/ecs+가/pvg+ㄴ다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
공에	공/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
힘은	힘/ncn+은/jxc
던진	던지/pvg+ㄴ/etm
힘과	힘/ncn+과/jcj
중력이다	중력/ncn+이/jp+다/ef
.	./sf
던진	던지/pvg+ㄴ/etm
힘이	힘/ncn+이/jcs
중력보다	중력/ncn+보다/jca
크기	크/paa+기/etn
때문에	때문/nbn+에/jca
공이	공/ncn+이/jcs
올라가는	오르/pvg+아/ecs+가/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
던진	던지/pvg+ㄴ/etm
힘과	힘/ncn+과/jcj
중력	중력/ncn
사이의	사이/ncn+의/jcm
평형을	평형/ncn+을/jco
유지하면서	유지/ncpa+하/xsv+면서/ecs
공이	공/ncn+이/jcs
올라간다	오르/pvg+아/ecs+가/pvg+ㄴ다/ef
.	./sf
그래야	그렇/pad+어야/ecs
처음의	처음/ncn+의/jcm
