<tdmsfile>
#17:ph08[1003]
나트륨	나트륨/ncn
뜻은	뜻/ncn+은/jxc
보통의	보통/ncn+의/jcm
수학	수학/ncn
또는	또는/maj
대수학에서	대수학/ncn+에서/jca
사용하는	사용/ncpa+하/xsv+는/etm
말의	말/ncn+의/jcm
뜻과는	뜻/ncn+과/jct+는/jxc
다르다	다르/paa+다/ef
.	./sf
#15:ph02[1039]
왜냐하면	왜냐하면/maj
차량들이	차량/ncn+들/xsn+이/jcs
일단	일단/mag
정지해	정지/ncpa+하/xsv+어/ecx
있으면	있/px+으면/ecs
교통신호가	교통/ncn+신호/ncn+가/jcs
청색으로	청색/ncn+으로/jca
바뀌어도	바뀌/pvg+어/ecs+도/jxc
모든	모든/mma
차량이	차량/ncn+이/jcs
동시에	동시에/mag
출발할	출발/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없기	없/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
#15:ph02[1025]
만약	만약/mag
너무	너무/mag
빨리	빠르/paa+이/xsa
달리면	달리/pvg+면/ecs
교통신호등이	교통/ncn+신호등/ncn+이/jcs
적색에서	적색/ncn+에서/jca
청색으로	청색/ncn+으로/jca
바뀌기	바뀌/pvg+기/etn
전에	전/ncn+에/jca
교차로에	교차/ncn+로/xsn+에/jca
도달하기	도달/ncpa+하/xsv+기/etn
때문에	때문/nbn+에/jca
반드시	반드시/mag
정지해야	정지/ncpa+하/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
#15:ph02[1020]
그러나	그러나/maj
신호등이	신호등/ncn+이/jcs
일단	일단/mag
청색신호로	청색/ncn+신호/ncn+로/jca
바뀌게	바뀌/pvg+게/ecx
되면	되/pvg+면/ecs
다시	다시/mag
적색신호로	적색/ncn+신호/ncn+로/jca
바뀔	바뀌/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
모든	모든/mma
차량들이	차량/ncn+들/xsn+이/jcs
한꺼번에	한꺼번에/mag
움직일	움직이/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph02[1014]
한편	한편/maj
신호등은	신호등/ncn+은/jxc
50	50/nnc
초	초/nbu
동안은	동안/ncn+은/jxc
청색	청색/ncn
,	,/sp
5	5/nnc
초	초/nbu
동안은	동안/ncn+은/jxc
황색	황색/ncn
,	,/sp
그리고	그리고/maj
25	25/nnc
초	초/nbu
동안은	동안/ncn+은/jxc
적색	적색/ncn
신호로	신호/ncn+로/jca
바뀐다고	바뀌/pvg+ㄴ다/ef+고/jcr
생각하자	생각/ncpa+하/xsv+자/ef
.	./sf
#15:ph02[954]
승강기가	승강/ncn+기/xsn+가/jcs
지상으로부터	지상/ncn+으로/jca+부터/jxc
28	28/nnc
m	m/su
의	의/jcm
높이에	높이/ncn+에/jca
있을	있/paa+을/etm
때	때/ncn
한	한/nnc
소년이	소년/ncn+이/jcs
승강기의	승강/ncn+기/xsn+의/jcm
마루로부터	마루/ncn+로/jca+부터/jxc
2	2/nnc
m	m/su
높이에서	높이/ncn+에서/jca
공을	공/ncn+을/jco
던져	던지/pvg+어/ecs
올렸다	올리/pvg+었/ep+다/ef
.	./sf
#15:ph02[855]
이	이/mmd
탑의	탑/ncn+의/jcm
내부는	내부/ncn+는/jxc
진공으로	진공/ncn+으로/jca
되어	되/pvg+어/ecx
있으며	있/px+으며/ecc
여러	여러/mma
가지	가지/nbu
실험중	실험/ncn+중/nbn
지름	지름/ncn
1	1/nnc
m	m/su
구를	구/ncn+를/jco
떨어뜨리는	떨어뜨리/pvg+는/etm
실험이	실험/ncn+이/jcs
있다	있/paa+다/ef
.	./sf
#15:ph02[777]
레이다	레이다/ncn
총으로	총/ncn+으로/jca
감지하게	감지/ncpa+하/xsv+게/ecs
되면	되/pvg+면/ecs
브레이크를	브레이크/ncn+를/jco
밟아	밟/pvg+아/ecs
속도를	속도/ncn+를/jco
줄이는	줄이/pvg+는/etm
것이	것/nbn+이/jcs
무모한	무모/ncps+하/xsm+ㄴ/etm
일임을	일/ncn+이/jp+ㅁ/etn+을/jco
알게	알/pvg+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph02[552]
모든	모든/mma
물질은	물질/ncn+은/jxc
원자로	원자/ncn+로/jca
구성되어	구성/ncpa+되/xsv+어/ecx
있고	있/px+고/ecc
간단한	간단/ncps+하/xsm+ㄴ/etm
모형으로	모형/ncn+으로/jca
표현하면	표현/ncpa+하/xsv+면/ecs
전자는	전자/ncn+는/jxc
견고한	견고/ncps+하/xsm+ㄴ/etm
중심	중심/ncn
핵의	핵/ncn+의/jcm
주변을	주변/ncn+을/jco
돌고	돌/pvg+고/ecx
있다	있/px+다/ef
.	./sf
#15:ph02[479]
이것들은	이것/npd+들/xsn+은/jxc
보통의	보통/ncn+의/jcm
수소와는	수소/ncn+와/jct+는/jxc
달리	다르/paa+이/xsa
하나	하나/nnc
또는	또는/maj
두	두/nnc
개의	개/nbu+의/jcm
501066990       <                       </sl
b	b/f
>	>/sr
중성자	중성/ncn+자/xsn
501067030       </                      </sl+//sps
b	b/f
>(	>/sr+(/sl
전기적으로	전기/ncn+적/xsn+으로/jca
중성이다	중성/ncn+이/jp+다/ef
)	)/sr
가	가/jcs
핵	핵/ncn
속에	속/ncn+에/jca
더	더/mag
들어	들/pvg+어/ecx
있다	있/px+다/ef
.	./sf
#15:ph02[458]
개별	개별/ncn
원자들을	원자/ncn+들/xsn+을/jco
작은	작/paa+은/etm
전자기적	전자기/ncn+적/xsn
"	"/sl
올가미	올가미/ncn
"	"/sr
속에	속/ncn+에/jca
가두어	가두/pvg+어/ecs
둘	두/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
한가한	한가/ncps+하/xsm+ㄴ/etm
때면	때/nbn+면/ecs
들여다	들이/pvg+어다/ecs
볼	보/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
#15:ph02[366]
그림	그림/ncn
(	(/sl
2	2/nno
-	-/sd
10	10/nno
)	)/sr
의	의/jcm
연속촬영	연속/ncn+촬영/ncn
사진에서	사진/ncn+에서/jca
자유	자유/ncn
낙하하는	낙하/ncpa+하/xsv+는/etm
두	두/nnc
물체	물체/ncn
,	,/sp
즉	즉/maj
새털과	새털/ncn+과/jcj
사과의	사과/ncn+의/jcm
사진을	사진/ncn+을/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph02[296]
식	식/ncn
(	(/sl
2	2/nno
-	-/sd
9	9/nno
)	)/sr
및	및/maj
(	(/sl
2	2/nno
-	-/sd
13	13/nno
)	)/sr
은	은/jxc
각각	각각/mag
네	네/nnc
가지의	가지/nbu+의/jcm
물리량을	물리/ncn+량/ncn+을/jco
포함하고	포함/ncpa+하/xsv+고/ecx
있으나	있/px+으나/ecs
네	네/nnc
가지가	가지/nbu+가/jcs
모두	모두/mag
같지는	같/paa+지/ecx+는/jxc
않다	않/px+다/ef
.	./sf
#15:ph02[275]
가속도가	가속도/ncn+가/jcs
일정할	일정/ncps+하/xsm+ㄹ/etm
때	때/ncn
평균가속도와	평균/ncn+가속도/ncn+와/jcj
순간가속도	순간/ncn+가속도/ncn
사이의	사이/ncn+의/jcm
구별은	구별/ncn+은/jxc
무의미하며	무/xp+의미/ncpa+하/xsv+며/ecc
식	식/ncn
(	(/sl
2	2/nno
-	-/sd
7	7/nno
)	)/sr
을	을/jco
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
쓸	쓰/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph02[249]
입자의	입자/ncn+의/jcm
위치가	위치/ncn+가/jcs
501068050       <                       </sl
TEX	TEX/f
>$$	>/sr+$/su+$/su
x	x/f
=	=/sy
4	4/nnc
-	-/sd
27	27/nnc
t	t/f
+	+/sy
t	t/f
^{	^/sy+{/sl
3	3/nnc
501068180       }$$</                   }/sr+$/su+$/su+</sl+//sp
TEX	TEX/f
>	>/sr
으로	으로/jca
주어지며	주/pvg+어/ecx+지/px+며/ecc
그	그/mmd
단위는	단위/ncn+는/jxc
각각	각각/mag
m	m/f
,	,/sp
m	m/f
/	//sp
s	s/su
및	및/maj
m	m/f
/	//sp
s	s/su
^{	^/sy+{/sl
3	3/nnc
}	}/sr
이고	이/jp+고/ecc
x	x/f
축은	축/ncn+은/jxc
그림	그림/ncn
(	(/sl
2	2/nno
-	-/sd
1	1/nno
)	)/sr
에	에/jca
나타나	나타나/pvg+아/ecx
있다	있/px+다/ef
.	./sf
#15:ph02[248]
이러한	이러하/pad+ㄴ/etm
해석은	해석/ncn+은/jxc
뒤에서	뒤/ncn+에서/jca
속도와	속도/ncn+와/jcj
가속도의	가속도/ncn+의/jcm
벡터적	벡터/ncn+적/xsn
성질을	성질/ncn+을/jco
다룰	다루/pvg+ㄹ/etm
때	때/nbn
그	그/mmd
의미를	의미/ncn+를/jco
자세히	자세/ncn+히/xsa
알게	알/pvg+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph02[247]
만일	만일/mag
속도와	속도/ncn+와/jcj
가속도의	가속도/ncn+의/jcm
부호가	부호/ncn+가/jcs
같다면	같/paa+다/ef+면/ecs
입자의	입자/ncn+의/jcm
속력은	속력/ncn+은/jxc
증가할	증가/ncpa+하/xsv+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
부호가	부호/ncn+가/jcs
반대이면	반대/ncn+이/jp+면/ecs
입자의	입자/ncn+의/jcm
속력은	속력/ncn+은/jxc
느려질	느리/paa+어/ecx+지/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph02[188]
(	(/sl
비록	비록/mag
기울기는	기울/pvg+기/etn+는/jxc
삼각형의	삼각형/ncn+의/jcm
크기에	크기/ncn+에/jca
관계없이	관계/ncn+없/paa+이/xsa
같지만	같/paa+지만/ecs
크면	크/paa+면/ecs
클수록	크/paa+ㄹ수록/ecs
그래프	그래프/ncn
상에서	상/xsn+에서/jca
더	더/mag
정확하게	정확/ncps+하/xsm+게/ecs
구할	구하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph02[151]
그림	그림/ncn
(	(/sl
2	2/nno
-	-/sd
6	6/nno
a	a/f
)	)/sr
는	는/jxc
처음에는	처음/ncn+에/jca+는/jxc
정지해	정지/ncpa+하/xsv+어/ecx
있다가	있/px+다가/ecs
(	(/sl
양의	양/ncn+의/jcm
방향인	방향/ncn+이/jp+ㄴ/etm
)	)/sr
위쪽을	위/ncn+쪽/nbn+을/jco
향해	향하/pvg+어/ecs
움직이고	움직이/pvg+고/ecc
나중에는	나중/ncn+에/jca+는/jxc
정지하는	정지/ncpa+하/xsv+는/etm
승강기에	승강/ncn+기/xsn+에/jca
관한	관하/pvg+ㄴ/etm
x	x/f
(	(/sl
t	t/f
)	)/sr
그래프이다	그래프/ncn+이/jp+다/ef
.	./sf
#15:ph02[120]
(	(/sl
앞으로	앞/ncn+으로/jca
예제의	예제/ncn+의/jcm
답은	답/ncn+은/jxc
기호	기호/ncn
501069330       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
approx	approx/f
501069370       $</                     $/su+</sl+//sp
TEX	TEX/f
>	>/sr
대신에	대신/ncn+에/jca
=	=/sy
로	로/jca
나타낼	나타내/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
원래	원래/ncn
자료의	자료/ncn+의/jcm
유효숫자까지만	유효/ncps+숫자/ncn+까지/jxc+만/jxc
취할	취하/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph02[117]
만일	만일/mag
여러	여러/mma
계산과정을	계산/ncn+과정/ncn+을/jco
거친다면	거치/pvg+ㄴ다/ef+면/ecs
계산결과가	계산/ncn+결과/ncn+가/jcs
원래	원래/ncn
주어진	주/pvg+어/ecx+지/px+ㄴ/etm
값보다	값/ncn+보다/jca
더	더/mag
큰	크/paa+ㄴ/etm
유효숫자를	유효/ncn+숫자/ncn+를/jco
갖는다는	갖/pvg+는다/ef+는/etm
것을	것/nbn+을/jco
명심해야	명심/ncpa+하/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
#15:ph02[104]
끝으로	끝/ncn+으로/jca
예제	예제/ncn
(	(/sl
2	2/nno
-	-/sd
2	2/nno
)	)/sr
의	의/jcm
답은	답/ncn+은/jxc
다음과	다음/ncn+과/jct
같은	같/paa+은/etm
두	두/nnc
가지	가지/nbu
이유	이유/ncn
때문에	때문/nbn+에/jca
예제	예제/ncn
(	(/sl
2	2/nno
-	-/sd
1	1/nno
)	)/sr
의	의/jcm
답보다	답/ncn+보다/jca
작아야	작/paa+아야/ecs
한다	하/px+ㄴ다/ef
.	./sf
#15:ph02[49]
그림	그림/ncn
(	(/sl
2	2/nno
-	-/sd
4	4/nno
)	)/sr
는	는/jxc
t	t/f
=	=/sy
1	1/nnc
s	s/f
와	와/jcj
t	t/f
=	=/sy
4	4/nnc
s	s/f
사이의	사이/ncn+의/jcm
시간간격에	시간/ncn+간격/ncn+에/jca
대한	대하/pvg+ㄴ/etm
그림	그림/ncn
(	(/sl
2	2/nno
-	-/sd
3	3/nno
)	)/sr
에	에/jca
있는	있/paa+는/etm
토끼의	토끼/ncn+의/jcm
평균속도	평균/ncn+속도/ncn
501070220       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
bar	bar/f
{	{/sl
v	v/f
501070280       }$</                    }/sr+$/su+</sl+//sp
TEX	TEX/f
>	>/sr
의	의/jcm
계산을	계산/ncn+을/jco
나타낸다	나타내/pvg+ㄴ다/ef
.	./sf
#15:ph02[39]
반면	반면/maj
그래프는	그래프/ncn+는/jxc
보다	보다/mag
추상적이며	추상/ncn+적/xsn+이/jp+며/ecc
우리가	우리/npp+가/jcs
실제로	실제로/mag
보는	보/pvg+는/etm
것과는	것/nbn+과/jct+는/jxc
매우	매우/mag
다르지만	다르/paa+지만/ecs
훨씬	훨씬/mag
많은	많/paa+은/etm
정보를	정보/ncn+를/jco
가지고	가지/pvg+고/ecx
있다	있/px+다/ef
.	./sf
#15:ph02[37]
토끼는	토끼/ncn+는/jxc
x	x/f
=	=/sy
0	0/nnc
을	을/jco
향해	향하/pvg+어/ecs
움직였고	움직이/pvg+었/ep+고/ecc
t	t/f
=	=/sy
3	3/nnc
s	s/f
에서	에서/jca
원점을	원점/ncn+을/jco
지났으며	지나/pvg+았/ep+으며/ecs
그	그/mmd
후	후/ncn
더	더/mag
큰	크/paa+ㄴ/etm
양의	양/ncn+의/jcm
x	x/f
값을	값/ncn+을/jco
갖도록	갖/pvg+도록/ecs
움직였다	움직이/pvg+었/ep+다/ef
.	./sf
#15:ph01[177]
사용하기	사용/ncpa+하/xsv+기/etn
쉬우며	쉽/paa+으며/ecs
동시에	동시에/mag
불변이어야	불변/ncn+이/jp+어야/ecs
하는	하/px+는/etm
표준은	표준/ncn+은/jxc
이들	이/npd+들/xsn
기본	기본/ncn
물리량들의	물리/ncn+량/ncn+들/xsn+의/jcm
단위를	단위/ncn+를/jco
정의하고	정의/ncpa+하/xsv+고/ecc
국제협약에	국제/ncn+협약/ncn+에/jca
의해	의하/pvg+어/ecs
채택되어	채택/ncpa+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
#15:ph01[170]
질량분석기를	질량/ncn+분석/ncn+기/xsn+를/jco
이용하여	이용/ncpa+하/xsv+여/ecs
과학자들은	과학/ncn+자/xsn+들/xsn+은/jxc
꽤	꽤/mag
정밀하게	정밀/ncps+하/xsm+게/ecs
탄소	탄소/ncn
-	-/sd
12	12/nnc
의	의/jcm
질량에	질량/ncn+에/jca
대한	대하/pvg+ㄴ/etm
다른	다르/paa+ㄴ/etm
원자들의	원자/ncn+들/xsn+의/jcm
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
질량을	질량/ncn+을/jco
결정할	결정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph01[149]
d	d/f
를	를/jxc
점	점/ncn
B	B/f
와	와/jct
일어섰을	일어서/pvg+었/ep+을/etm
때의	때/ncn+의/jcm
눈의	눈/ncn+의/jcm
위치	위치/ncn
사이의	사이/ncn+의/jcm
거리라	거리/ncn+라/ef
하고	하/pvg+고/ecc
그림	그림/ncn
(	(/sl
1	1/nno
-	-/sd
6	6/nno
)	)/sr
처럼	처럼/jca
반지름	반지름/ncn
r	r/f
를	를/jco
그려보자	그리/pvg+어/ecx+보/px+자/ef
.	./sf
#15:ph01[148]
또한	또한/maj
그림에서	그림/ncn+에서/jca
두	두/nno
번째	번째/nbu
일몰	일몰/ncn
때	때/ncn
해의	해/ncn+의/jcm
위쪽	위/ncn+쪽/nbn
끝을	끝/ncn+을/jco
향하는	향하/pvg+는/etm
시선은	시선/ncn+은/jxc
점	점/ncn
B	B/f
에서의	에서/jca+의/jcm
지구표면과	지구/ncn+표면/ncn+과/jct
접한다	접하/pvg+ㄴ다/ef
.	./sf
#15:ph01[144]
해변가에	해변/ncn+가/xsn+에/jca
누워서	눕/pvg+어서/ecs
고요한	고요/ncps+하/xsm+ㄴ/etm
바다	바다/ncn
속으로	속/ncn+으로/jca
지는	지/pvg+는/etm
해를	해/ncn+를/jco
지켜보다가	지키/pvg+어/ecs+보/pvg+다가/ecs
해가	해/ncn+가/jcs
완전히	완전/ncn+히/xsa
사라진	사라지/pvg+ㄴ/etm
직후	직후/ncn
초시계를	초시계/ncn+를/jco
눌렀다고	누르/pvg+었/ep+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
#15:ph01[118]
일상생활이나	일상/ncn+생활/ncn+이나/jcj
어떤	어떤/mmd
과학적	과학/ncn+적/xsn
목적을	목적/ncn+을/jco
위해	위하/pvg+어/ecs
하루	하루/ncn
중의	중/nbn+의/jcm
어느	어느/mmd
때	때/ncn
(	(/sl
시각	시각/ncn
)	)/sr
인가를	이/jp+ㄴ가/ef+를/jco
알아야	알/pvg+아야/ecs
사건들을	사건/ncn+들/xsn+을/jco
순서대로	순서/ncn+대로/jxc
나열할	나열/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
있다	있/paa+다/ef
.	./sf
#15:ph01[102]
미터는	미터/ncn+는/jxc
특정한	특정/ncpa+하/xsv+ㄴ/etm
시간	시간/ncn
간격동안	간격/ncn+동안/ncn
빛의	빛/ncn+의/jcm
파동이	파동/ncn+이/jcs
진행한	진행/ncpa+하/xsv+ㄴ/etm
거리로써	거리/ncn+로써/jca
제	제/xp
17	17/nno
차	차/nbu
도량형	도량/ncn+형/xsn
총회에서	총회/ncn+에서/jca
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
정의하였다	정의/ncpa+하/xsv+었/ep+다/ef
.	./sf
#15:ph01[31]
따라서	따라서/maj
우선	우선/mag
불변성을	불변/ncn+성/xsn+을/jco
중요시하고	중요/ncn+시/xsn+하/xsv+고/ecc
그	그/mmd
다음으로	다음/ncn+으로/jca
기본표준량을	기본/ncn+표준/ncn+량/ncn+을/jco
필요로	필요/ncn+로/jca
하는	하/pvg+는/etm
사람들이	사람/ncn+들/xsn+이/jcs
이용하기	이용/ncpa+하/xsv+기/etn
쉽도록	쉽/paa+도록/ecs
표준량을	표준/ncn+량/ncn+을/jco
만들어내는	만들/pvg+어/ecx+내/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#15:ph01[14]
물리학자	물리/ncn+학자/ncn
Robert	Robert/f
Oppenheimer	Oppenheimer/f
는	는/jxc
"	"/sl
가끔	가끔/mag
과학용어가	과학/ncn+용어/ncn+가/jcs
일상생활의	일상/ncn+생활/ncn+의/jcm
용어들과	용어/ncn+들/xsn+과/jct
같다는	같/paa+다/ef+는/jxc
바로	바로/mag
그	그/mmd
사실이	사실/ncn+이/jcs
우리를	우리/npp+를/jco
오도할	오도/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#15:ph01[12]
사실	사실/ncn
길이나	길이/ncn+나/jcj
압력의	압력/ncn+의/jcm
정확한	정확/ncps+하/xsm+ㄴ/etm
과학적	과학/ncn+적/xsn
정의는	정의/ncn+는/jxc
위에서	위/ncn+에서/jca
인용한	인용/ncpa+하/xsv+ㄴ/etm
문장	문장/ncn
속에	속/ncn+에/jca
들어있는	들/pvg+어/ecx+있/px+는/etm
일상용어들과	일상/ncn+용어/ncn+들/xsn+과/jcj
아무런	아무렇/pad+ㄴ/etm
관계가	관계/ncn+가/jcs
없다	없/paa+다/ef
.	./sf
#14:ph08[1516]
이	이/mmd
입자가	입자/ncn+가/jcs
A	A/f
지점에서	지점/ncn+에서/jca
B	B/f
로	로/jca
이동할	이동/ncpa+하/xsv+ㄹ/etm
때	때/ncn
보존력은	보존/ncn+력/xsn+은/jxc
25	25/nnc
J	J/su
의	의/jcm
일을	일/ncn+을/jco
입자에	입자/ncn+에/jca
해주었다면	하/pvg+어/ecx+주/px+었/ep+다/ef+면/ecs
B	B/f
지점에서의	지점/ncn+에서/jca+의/jcm
퍼텐셜에너지는	퍼텐셜에너지/ncn+는/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#14:ph08[1432]
(	(/sl
c	c/f
)	)/sr
회전축에	회전/ncn+축/ncn+에/jca
왕모래를	왕모래/ncn+를/jco
깐	깔/pvg+ㄴ/etm
뒤	뒤/ncn
처음과	처음/ncn+과/jct
같은	같/paa+은/etm
속력으로	속력/ncn+으로/jca
같은	같/paa+은/etm
장소에서	장소/ncn+에서/jca
놓았더니	놓/pvg+았/ep+더니/ecs
C	C/f
까지	까지/jxc
밖에	밖에/jxc
오지	오/pvg+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
#14:ph08[1425]
평평한	평평/ncps+하/xsm+ㄴ/etm
부분의	부분/ncn+의/jcm
길이는	길이/ncn+는/jxc
L	L/f
이며	이/jp+며/ecc
휘어진	휘/pvg+어/ecx+지/px+ㄴ/etm
부분에는	부분/ncn+에/jca+는/jxc
마찰이	마찰/ncn+이/jcs
없고	없/paa+고/ecc
평평한	평평/ncps+하/xsm+ㄴ/etm
부분의	부분/ncn+의/jcm
마찰	마찰/ncn
계수	계수/ncn
501073060       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
mu_	mu_/f
{	{/sl
k	k/f
501073120       }$</                    }/sr+$/su+</sl+//sp
TEX	TEX/f
>	>/sr
는	는/jxc
0	0/nnc
.	./sf
#14:ph08[1422]
만일	만일/mag
미끄럼틀이	미끄럼틀/ncn+이/jcs
지표면이	지표/ncn+면/ncn+이/jcc
아닌	아니/paa+ㄴ/etm
미끄럼틀의	미끄럼틀/ncn+의/jcm
정점을	정점/ncn+을/jco
지나는	지나/pvg+는/etm
수직선과	수직/ncn+선/ncn+과/jct
접한다고	접하/pvg+ㄴ다/ef+고/jcr
할	하/pvg+ㄹ/etm
때	때/ncn
(	(/sl
c	c/f
)	)/sr
미끄럼틀의	미끄럼틀/ncn+의/jcm
길이는	길이/ncn+는/jxc
얼마인가	얼마/ncn+이/jp+ㄴ가/ef
?	?/sf
#14:ph08[1406]
높은	높/paa+은/etm
면까지는	면/ncn+까지/jxc+는/jxc
마찰력이	마찰/ncn+력/xsn+이/jcs
없으나	없/paa+으나/ecs
그곳에	그/mmd+곳/ncn+에/jca
이르면	이르/pvg+면/ecs
마찰력	마찰/ncn+력/xsn
때문에	때문/nbn+에/jca
토막은	토막/ncn+은/jxc
거리	거리/ncn
d	d/f
만큼	만큼/nbn
이동한	이동/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
정지한다	정지/ncpa+하/xsv+ㄴ다/ef
.	./sf
#14:ph08[1286]
이	이/mmd
답은	답/ncn+은/jxc
중력과	중력/ncn+과/jct
맞서	맞서/pvg+어/ecs
사용된	사용/ncpa+되/xsv+ㄴ/etm
에너지는	에너지/ncn+는/jxc
등반	등반/ncn
중	중/nbn
사용된	사용/ncpa+되/xsv+ㄴ/etm
에너지의	에너지/ncn+의/jcm
극히	극히/mag
일부임을	일부/ncn+이/jp+ㅁ/etn+을/jco
보여줄	보이/pvg+어/ecx+주/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
#14:ph08[1269]
또한	또한/maj
그림	그림/ncn
(	(/sl
8	8/nno
-	-/sd
42	42/nno
b	b/f
)	)/sr
는	는/jxc
두	두/nnc
원자가	원자/ncn+가/jcs
이루는	이루/pvg+는/etm
계의	계/ncn+의/jcm
퍼텐셜에너지	퍼텐셜에너지/ncn
U	U/f
(	(/sl
r	r/f
)	)/sr
을	을/jco
거리	거리/ncn
r	r/f
의	의/jcm
함수로	함수/ncn+로/jca
그린	그리/pvg+ㄴ/etm
그래프이다	그래프/ncn+이/jp+다/ef
.	./sf
#14:ph08[1250]
마찰이	마찰/ncn+이/jcs
없다고	없/paa+다/ef+고/jcr
가정할	가정/ncpa+하/xsv+ㄹ/etm
때	때/ncn
이	이/mmd
아이가	아이/ncn+가/jcs
높이가	높이/ncn+가/jcs
2	2/nnc
R	R/f
/	//sp
3	3/nnc
인	이/jp+ㄴ/etm
지점에서	지점/ncn+에서/jca
얼음으로부터	얼음/ncn+으로/jca+부터/jxc
떨어져	떨어지/pvg+어/ecs
나간다는	나가/pvg+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
증명하여라	증명/ncpa+하/xsv+여라/ef
.	./sf
#14:ph08[1224]
덩굴에	덩굴/ncn+에/jca
가해진	가하/pvg+어/ecx+지/px+ㄴ/etm
힘이	힘/ncn+이/jcs
950	950/nnc
N	N/f
을	을/jco
넘을	넘/pvg+을/etm
때	때/ncn
덩굴이	덩굴/ncn+이/jcs
끊어진다면	끊/pvg+어/ecx+지/px+ㄴ다/ef+면/ecs
,	,/sp
타잔이	타잔/ncn+이/jcs
뛸	뛰/pvg+ㄹ/etm
때	때/ncn
덩굴은	덩굴/ncn+은/jxc
끊어질	끊/pvg+어/ecx+지/px+ㄹ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
#14:ph08[1021]
상대론의	상대/ncn+론/xsn+의/jcm
수식에서	수식/ncn+에서/jca
c	c/f
가	가/jcs
자주	자주/mag
사용되듯이	사용/ncpa+되/xsv+듯이/ecs
거의	거의/mag
모든	모든/mma
양자역학의	양자/ncn+역학/ncn+의/jcm
수식에서	수식/ncn+에서/jca
이	이/mmd
상수를	상수/ncn+를/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
#14:ph08[1002]
대접	대접/ncn
안에	안/ncn+에/jca
놓여있는	놓이/pvg+어/ecx+있/px+는/etm
구슬이	구슬/ncn+이/jcs
바닥에	바닥/ncn+에/jca
머물러	머무르/pvg+어/ecx
있듯이	있/px+듯이/ecs
대부분의	대부분/ncn+의/jcm
경우	경우/ncn
나트륨	나트륨/ncn
원자는	원자/ncn+는/jxc
주로	주로/mag
바닥상태에	바닥/ncn+상태/ncn+에/jca
있다	있/paa+다/ef
.	./sf
#14:ph08[937]
모래에	모래/ncn+에/jca
도착한	도착/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
모래	모래/ncn
속으로	속/ncn+으로/jca
파묻혀	파묻히/pvg+어/ecs
h_	h_/f
{	{/sl
2	2/nnc
}	}/sr
만큼	만큼/nbn
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
변화한	변화/ncpa+하/xsv+ㄴ/etm
공의	공/ncn+의/jcm
역학에너지는	역학/ncn+에너지/ncn+는/jxc
501074770       <                       </sl
TEX	TEX/f
>$\	>/sr+$/su+\/sp
Delta	Delta/f
E	E/f
