
<tdmsfile>

머리는	머리/ncn+는/jxc
정밀한	정밀/ncps+하/xsm+ㄴ/etm
조사	조사/ncn
결과를	결과/ncn+를/jco
기록한	기록/ncpa+하/xsv+ㄴ/etm
것이	것/nbn+이/jcc
아닐	아니/paa+ㄹ/etm
것이므로	것/nbn+이/jp+므로/ecs
,	,/sp
이들	이/npd+들/xsn
고서에	고서/ncn+에/jca
나오는	나오/pvg+는/etm
산지들은	산지/ncn+들/xsn+은/jxc
은어의	은어/ncn+의/jcm
다산지였을	다산/ncn+지/xsn+이/jp+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

소금에	소금/ncn+에/jca
절이면	절이/pvg+면/ecs
멀리	멀리/mag
보낼	보내/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있고	있/paa+고/ecs
구워먹어도	굽/pvg+어/ecs+먹/pvg+어도/ecs
좋다고	좋/paa+다/ef+고/jcr
했으며	하/pvg+었/ep+으며/ecs
,	,/sp
산지를	산지/ncn+를/jco
소상히	소상/ncn+히/xsa
보고한	보고/ncpa+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
보아	보/pvg+아/ecs
그런	그런/mmd
추측을	추측/ncn+을/jco
가능하게	가능/ncpa+하/xsv+게/ecx
한다	하/px+ㄴ다/ef
.	./sf

다섯째는	다섯째/nno+는/jxc
은어가	은어/ncn+가/jcs
몹시	몹시/mag
아름답고	아름/ncps+답/xsm+고/ecc
날씬하며	날씬/ncps+하/xsm+며/ecc
맛이	맛/ncn+이/jcs
좋아	좋/paa+아/ecs
,	,/sp
그	그/mmd
당시	당시/ncn
사람들의	사람/ncn+들/xsn+의/jcm
마음을	마음/ncn+을/jco
사로	사로/mag
잡았던	잡/pvg+았/ep+던/etm
것이	것/nbn+이/jcc
아닌가	아니/paa+ㄴ가/ef
생각된다	생각/ncpa+되/xsv+ㄴ다/ef
.	./sf

국민학교	국민/ncn+학교/ncn
어린이들이	어린이/ncn+들/xsn+이/jcs
물	물/ncn
속으로	속/ncn+으로/jca
뛰어들어	뛰/pvg+어/ecs+들/pvg+어/ecs
그물도	그물/ncn+도/jxc
쓰지	쓰/pvg+지/ecx
않고	않/px+고/ecs
발로	발/ncn+로/jca
차서	차/pvg+서/ecs
모래밭으로	모래/ncn+밭/ncn+으로/jca
쫓아냈다	쫓/pvg+아/ecx+내/px+었/ep+다/ef
.	./sf

그곳	그/mmd+곳/ncn
주민들은	주민/ncn+들/xsn+은/jxc
봄이	봄/ncn+이/jcc
되면	되/pvg+면/ecs
은어가	은어/ncn+가/jcs
바다에서	바다/ncn+에서/jca
올라온다는	오르/pvg+아/ecs+오/pvg+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
잘	잘/mag
알고	알/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

물이	물/ncn+이/jcs
맑고	맑/paa+고/ecc
수량이	수량/ncn+이/jcs
적은데다가	적/paa+은/etm+데/nbn+다가/ecs
은어가	은어/ncn+가/jcs
많았기	많/paa+았/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

은어는	은어/ncn+는/jxc
이곳쯤	이/mmd+곳/ncn+쯤/xsn
오면	오/pvg+면/ecs
무리에서	무리/ncn+에서/jca
벗어나	벗어나/pvg+아/ecs
각자가	각자/ncn+가/jcs
개별행동을	개별/ncn+행동/ncn+을/jco
하게	하/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

은어의	은어/ncn+의/jcm
놀림낚기란	놀림낚기/ncn+란/jxc
그들의	그/npp+들/xsn+의/jcm
이런	이런/mmd
성질을	성질/ncn+을/jco
역으로	역/ncn+으로/jca
이용해서	이용/ncpa+하/xsv+어서/ecs
포로	포로/ncn
은어를	은어/ncn+를/jco
써서	쓰/pvg+어서/ecs
주인	주인/ncn
은어를	은어/ncn+를/jco
잡아내는	잡/pvg+아/ecx+내/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

한	한/nnc
마리의	마리/nbu+의/jcm
은어가	은어/ncn+가/jcs
확보하는	확보/ncpa+하/xsv+는/etm
식량은	식량/ncn+은/jxc
15	15/nnc
마리가	마리/nbu+가/jcs
먹고	먹/pvg+고/ecs
남을	남/paa+을/etm
만큼이나	만큼/nbn+이나/jxc
된다	되/pvg+ㄴ다/ef
.	./sf

9	9/nno
월	월/nbu
중순까지	중순/ncn+까지/jxc
배부르게	배/ncn+부르/pvg+게/ecs
먹고	먹/pvg+고/ecs
,	,/sp
화를	화/ncn+를/jco
겪지만	겪/pvg+지만/ecs
않는다면	않/pvg+는다면/ecs
30	30/nnc
센티미터	센티미터/nbu
내외가	내외/ncn+가/jcc
되기까지	되/pvg+기/etn+까지/jxc
큰다	크/paa+ㄴ다/ef
.	./sf

한	한/nnc
마리의	마리/nbu+의/jcm
암컷에	암컷/ncn+에/jca
여러	여러/mma
마리의	마리/nbu+의/jcm
수컷이	수컷/ncn+이/jcs
구혼을	구혼/ncn+을/jco
하는	하/pvg+는/etm
사랑의	사랑/ncn+의/jcm
터전은	터전/ncn+은/jxc
강의	강/ncn+의/jcm
하구에	하구/ncn+에/jca
가까운	가깝/paa+ㄴ/etm
모래밭이나	모래/ncn+밭/ncn+이나/jcj
자갈밭이다	자갈/ncn+밭/ncn+이/jp+다/ef
.	./sf

쫓고	쫓/pvg+고/ecc
쫓기고	쫓기/pvg+고/ecc
,	,/sp
물이	물/ncn+이/jcs
튀고	튀/pvg+고/ecc
소리가	소리/ncn+가/jcs
나는	나/pvg+는/etm
활극이	활극/ncn+이/jcs
벌어진	벌/pvg+어/ecx+지/px+ㄴ/etm
다음에야	다음/ncn+에/jca+야/jxc
산란을	산란/ncn+을/jco
하고	하/pvg+고/ecs
방정을	방정/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf

현재는	현재/ncn+는/jxc
이런	이런/mmd
사실들이	사실/ncn+들/xsn+이/jcs
소상히	소상/ncn+히/xsa
밝혀졌지만	밝히/pvg+어/ecx+지/px+었/ep+지만/ecs
,	,/sp
그것을	그것/npd+을/jco
처음으로	처음/ncn+으로/jca
밝힌	밝히/pvg+ㄴ/etm
사람은	사람/ncn+은/jxc
이수광이다	이수광/nq+이/jp+다/ef
.	./sf

산란과	산란/ncn+과/jcj
수정을	수정/ncn+을/jco
끝낸	끝/ncn+내/pvg+ㄴ/etm
은어는	은어/ncn+는/jxc
죽는다는	죽/pvg+는다/ef+는/etm
일반상식을	일반/ncn+상식/ncn+을/jco
깨고	깨/pvg+고/ecs
,	,/sp
그는	그/npp+는/jxc
순천에	순천/nq+에/jca
월동하는	월동/ncpa+하/xsv+는/etm
친어가	친어/ncn+가/jcs
있다는	있/paa+다/ef+는/etm
사실을	사실/ncn+을/jco
밝혔다	밝히/pvg+었/ep+다/ef
.	./sf

한강에	한강/nq+에/jca
나타나기	나타나/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
은어	은어/ncn
1960	1960/nno
년대	년대/nbu
들어서면서	들/pvg+어/ecs+서/px+면서/ecs
한강의	한강/nq+의/jcm
은어에	은어/ncn+에/jca
관한	관하/pvg+ㄴ/etm
이상한	이상/ncps+하/xsm+ㄴ/etm
소문이	소문/ncn+이/jcs
돌기	돌/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf

고집이	고집/ncn+이/jcs
세기로	세/paa+기/etn+로/jca
이름난	이름/ncn+나/pvg+ㄴ/etm
한	한/nnc
문교부	문교부/nq
직원은	직원/ncn+은/jxc
한강에	한강/nq+에/jca
은어가	은어/ncn+가/jcs
있다고	있/paa+다/ef+고/jcr
장담하고	장담/ncpa+하/xsv+고/ecx
나섰다	나서/px+었/ep+다/ef
.	./sf

그럴	그렇/pad+ㄹ/etm
리가	리/nbn+가/jcs
없다고	없/paa+다/ef+고/jcr
응수해	응수/ncpa+하/xsv+어/ecx
보았으나	보/px+았/ep+으나/ecs
,	,/sp
화를	화/ncn+를/jco
내며	내/pvg+며/ecs
소리를	소리/ncn+를/jco
높인다	높이/pvg+ㄴ다/ef
.	./sf

은어를	은어/ncn+를/jco
구별할	구별/ncpa+하/xsv+ㄹ/etm
줄	줄/nbn
모르는	모르/pvg+는/etm
줄	줄/nbn
아나	알/pvg+나/ef
?	?/sf
내가	내/npp+가/jcs
낚았다면	낚/pvg+았/ep+다/ef+면/ecs
낚은	낚/pvg+은/etm
줄	줄/nbn
알아야지	알/pvg+아야지/ef
.	./sf

귀한	귀하/paa+ㄴ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
없다고	없/paa+다/ef+고/jcr
대답을	대답/ncn+을/jco
했더니	하/pvg+었/ep+더니/ecs
,	,/sp
가평군	가평군/nq
상면	상면/nq
조종천에서	조종천/nq+에서/jca
한	한/nnc
마리를	마리/nbu+를/jco
잡은	잡/pvg+은/etm
일이	일/ncn+이/jcs
있다고	있/paa+다/ef+고/jcr
장소와	장소/ncn+와/jcj
시간을	시간/ncn+을/jco
밝혔다	밝히/paa+었/ep+다/ef
.	./sf

1972	1972/nno
년	년/nbu
9	9/nno
월	월/nbu
23	23/nno
일	일/nbu
,	,/sp
한국에서	한국/nq+에서/jca
가장	가장/mag
큰	크/paa+ㄴ/etm
잉어를	잉어/ncn+를/jco
낚았다는	낚/pvg+았/ep+다/ef+는/etm
분과	분/nbn+과/jct
뚝섬에서	뚝섬/nq+에서/jca
같은	같/paa+은/etm
보트를	보트/ncn+를/jco
타고	타/pvg+고/ecs
그분의	그/mmd+분/nbn+의/jcm
낚시	낚시/ncn
솜씨를	솜씨/ncn+를/jco
구경한	구경/ncpa+하/xsv+ㄴ/etm
일이	일/ncn+이/jcs
있었다	있/paa+었/ep+다/ef
.	./sf

은어가	은어/ncn+가/jcs
살	살/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
곳이라면	곳/ncn+이/jp+라면/ecs
전국	전국/ncn
어디에서든지	어디/npd+에서/jca+든지/jxc
보게	보/pvg+게/ecx
된다면	되/pvg+ㄴ다/ef+면/ecs
얼마나	얼마나/mag
좋을까	좋/paa+을까/ef
.	./sf

하돈의	하돈/ncn+의/jcm
정체	정체/ncn
황복은	황복/ncn+은/jxc
어떤	어떤/mmd
물고기인가	물고기/ncn+이/jp+ㄴ가/ef
,	,/sp
옛날	옛날/ncn
사람들은	사람/ncn+들/xsn+은/jxc
황복을	황복/ncn+을/jco
어떻게	어떻/pad+게/ecs
보고	보/pvg+고/ecx
있었는가	있/px+었/ep+는가/ef
,	,/sp
그리고	그리고/maj
황복은	황복/ncn+은/jxc
어디에서	어디/npd+에서/jca
산출되며	산출/ncpa+되/xsv+며/ecc
,	,/sp
번창하는	번창/ncpa+하/xsv+는/etm
종인가	종/ncn+이/jp+ㄴ가/ef
소멸하는	소멸/ncpa+하/xsv+는/etm
종인가	종/ncn+이/jp+ㄴ가/ef
알아보기로	알/pvg+아/ecx+보/px+기/etn+로/jca
하자	하/pvg+자/ef
.	./sf

풍기	풍기/nq
황복에	황복/ncn+에/jca
대하여	대하/pvg+어/ecs
다음과	다음/ncn+과/jct
같이	같/paa+이/xsa
기록하고	기록/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf

등이	등/ncn+이/jcs
청흑색이고	청흑색/ncn+이/jp+고/ecc
노란	노랗/paa+ㄴ/etm
무늬가	무늬/ncn+가/jcs
있으며	있/paa+으며/ecc
,	,/sp
배는	배/ncn+는/jxc
희고	희/paa+고/ecc
광택이	광택/ncn+이/jcs
없다	없/paa+다/ef
.	./sf

한식	한식/ncn
때는	때/ncn+는/jxc
이미	이미/mag
와	오/pvg+아/ecx
있고	있/px+고/ecc
,	,/sp
복숭아꽃이	복숭아꽃/ncn+이/jcs
피면	피/pvg+면/ecs
독이	독/ncn+이/jcs
있어서	있/paa+어서/ecs
먹을	먹/pvg+을/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

그러므로	그러므로/maj
참복과	참복/ncn+과/xsn
어류를	어류/ncn+를/jco
총칭하는	총칭/ncpa+하/xsv+는/etm
말로	말/ncn+로/jca
하돈이나	하돈/ncn+이나/jcj
하둔이란	하둔/ncn+이/jp+라/ef+ㄴ/etm
말이	말/ncn+이/jcs
나오는	나오/pvg+는/etm
것은	것/nbn+은/jxc
자연스럽다	자연/ncps+스럽/xsm+다/ef
.	./sf

황복의	황복/ncn+의/jcm
방언에	방언/ncn+에/jca
어떤	어떤/mmd
것들이	것/nbn+들/xsn+이/jcs
있으며	있/paa+으며/eccs
,	,/sp
그것들이	그것/npd+들/xsn+이/jcs
어떻게	어떻/pad+게/ecs
분포되어	분포/ncpa+되/xsv+어/ecx
있는지를	있/paa+는지/ef+를/jco
알아본다	알/pvg+아/ecx+보/px+ㄴ다/ef
.	./sf

(	(/sl
나주	나주/nq
),	)/sr+,/sp
복징이	복징이/ncn
(	(/sl
양산	양산/nq
),	)/sr+,/sp
황복	황복/ncn
(	(/sl
익산	익산/nq
),	)/sr+,/sp
황복어	황복어/ncn
(	(/sl
부여	부여/nq
)	)/sr
방언이	방언/ncn+이/jcs
놀랄	놀라/pvg+ㄹ/etm
만큼	만큼/nbn
단조롭고	단조/ncps+롭/xsm+고/ecc
수가	수/ncn+가/jcs
적다	적/paa+다/ef
.	./sf

1	1/nnc
년	년/nbu
중	중/nbn
봄에만	봄/ncn+에/jca+만/jxc
나타났다가	나타나/pvg+았/ep+다가/ecs
사라지는	사라지/pvg+는/etm
종이고	종/ncn+이/jp+고/ecs
,	,/sp
먹으면	먹/pvg+으면/ecs
죽는	죽/pvg+는/etm
물고기라고	물고기/ncn+라고/jcr
알고	알/pvg+고/ecs
기피했던	기피/ncpa+하/xsv+었/ep+던/etm
까닭이라고	까닭/ncn+이/jp+라/ef+고/jcr
생각된다	생각/ncpa+되/xsv+ㄴ다/ef
.	./sf

강에	강/ncn+에/jca
사는	살/pvg+는/etm
복어라고	복어/ncn+라고/jcr
해서	하/pvg+어서/ecs
강복	강복/ncn
,	,/sp
강복어	강복어/ncn
,	,/sp
민물에서	민물/ncn+에서/jca
사는	살/pvg+는/etm
복어라고	복어/ncn+라고/jcr
민물복쟁이	민물복쟁이/ncn
,	,/sp
몸에	몸/ncn+에/jca
노란	노랗/paa+ㄴ/etm
띠가	띠/ncn+가/jcs
있다고	있/paa+다/ef+고/jcr
해서	하/pvg+어서/ecs
황복	황복/ncn
,	,/sp
또는	또는/maj
황복어라고	황복어/ncn+라고/jcr
부르고	부르/pvg+고/ecx
있다	있/px+다/ef
.	./sf

방언의	방언/ncn+의/jcm
분포로	분포/ncn+로/jca
보면	보/pvg+면/ecs
,	,/sp
황복은	황복/ncn+은/jxc
한강	한강/nq
,	,/sp
금강	금강/nq
,	,/sp
낙동강	낙동강/nq
이외에	이외/ncn+에/jca
안성천	안성천/nq
,	,/sp
만경강	만경강/nq
,	,/sp
영산강에서도	영산강/nq+에서/jca+도/jxc
산출된다는	산출/ncpa+되/xsv+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

참복과에	참복/ncn+과/xsn+에/jca
속하는	속하/pvg+는/etm
종들은	종/ncn+들/xsn+은/jxc
많으나	많/paa+으나/ecs
대부분이	대부분/ncn+이/jcs
바다에서	바다/ncn+에서/jca
일생을	일생/ncn+을/jco
보내는	보내/pvg+는/etm
종들이고	종/ncn+들/xsn+이/jp+고/eccs
,	,/sp
민물에	민물/ncn+에/jca
나타나는	나타나/pvg+는/etm
종은	종/ncn+은/jxc
황복과	황복/ncn+과/jcj
복섬이다	복섬/ncn+이/jp+다/ef
.	./sf

등은	등/ncn+은/jxc
회갈색이나	회갈색/ncn+이나/jcj
청갈색이고	청갈색/ncn+이/jp+고/ecs
,	,/sp
거기에	거기/npd+에/jca
백점이	백점/ncn+이/jcs
무수히	무수/ncn+히/xsa
박혀	박히/pvg+어/ecx
있어서	있/px+어서/ecs
황복과는	황복/ncn+과/jct+는/jxc
간단히	간단/ncn+히/xsa
구별할	구별/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

복섬은	복섬/ncn+은/jxc
주로	주로/mag
동부와	동부/ncn+와/jcj
남부에	남부/ncn+에/jca
분포되어	분포/ncpa+되/xsv+어/ecx
있고	있/px+고/ecs
,	,/sp
황복은	황복/ncn+은/jxc
동부에서는	동부/ncn+에서/jca+는/jxc
찾아볼	찾/pvg+아/ecx+보/px+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

황복과	황복/ncn+과/jcj
한식	한식/ncn
황복은	황복/ncn+은/jxc
4	4/nno
월에서	월/nbu+에서/jca
5	5/nno
월	월/nbu
사이에	사이/ncn+에/jca
산란을	산란/ncn+을/jco
하기	하/pvg+기/etn
위하여	위하/pvg+어/ecs
강에	강/ncn+에/jca
나타난다	나타나/pvg+ㄴ다/ef
.	./sf

산란장은	산란/ncn+장/xsn+은/jxc
바닥에	바닥/ncn+에/jca
자갈이	자갈/ncn+이/jcs
깔린	깔리/pvg+ㄴ/etm
여울이고	여울/ncn+이/jp+고/ecs
,	,/sp
조수의	조수/ncn+의/jcm
영향을	영향/ncn+을/jco
받지	받/pvg+지/ecx
않는	않/px+는/etm
곳이다	곳/ncn+이/jp+다/ef
.	./sf

알에서	알/ncn+에서/jca
부화한	부화/ncpa+하/xsv+ㄴ/etm
어린	어리/paa+ㄴ/etm
황복도	황복/ncn+도/jxc
성어와	성어/ncn+와/jca
거의	거의/mag
같으며	같/paa+으며/ecs
,	,/sp
1	1/nnc
센티미터	센티미터/nbu
내외의	내외/ncn+의/jcm
어린	어리/paa+ㄴ/etm
것도	것/nbn+도/jxc
벌써	벌써/mag
팽창시킬	팽창/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
있어서	있/paa+어서/ecs
얄미울	얄밉/paa+ㄹ/etm
정도이다	정도/ncn+이/jp+다/ef
.	./sf

옛날	옛날/ncn
사람들은	사람/ncn+들/xsn+은/jxc
황복이	황복/ncn+이/jcs
철을	철/ncn+을/jco
어기지	어기/pvg+지/ecx
않고	않/px+고/ecs
강에	강/ncn+에/jca
나타나는	나타나/pvg+는/etm
것을	것/nbn+을/jco
매우	매우/mag
신기하게	신기/ncps+하/xsm+게/ecs
생각했던	생각/ncpa+하/xsv+었/ep+던/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf

서유구는	서유구/nq+는/jxc
한식	한식/ncn
때는	때/ncn+는/jxc
황복이	황복/ncn+이/jcs
이미	이미/mag
와	오/pvg+아/ecx
있다고	있/px+다/ef+고/jcr
지적했지만	지적/ncpa+하/xsv+었/ep+지만/ecs
,	,/sp
많은	많/paa+은/etm
시인들이	시인/ncn+들/xsn+이/jcs
그것을	그것/npd+을/jco
소재로	소재/ncn+로/jca
시를	시/ncn+를/jco
썼다	쓰/pvg+었/ep+다/ef
.	./sf

대밭	대밭/ncn
밖에는	밖/ncn+에/jca+는/jxc
봉숭아꽃이	봉숭아꽃/ncn+이/jcs
두서너	두서너/nnc
가지	가지/nbu
피었고	피/pvg+었/ep+고/ecs
,	,/sp
조용히	조용/ncn+히/xsa
헤엄치는	헤엄/ncn+치/pvg+는/etm
오리의	오리/ncn+의/jcm
발에도	발/ncn+에/jca+도/jxc
봄의	봄/ncn+의/jcm
강물이	강물/ncn+이/jcs
따스하게	따스/ncps+하/xsm+게/ecs
느껴지네	느끼/pvg+어/ecx+지/px+네/ef
.	./sf

쑥은	쑥/ncn+은/jxc
이미	이미/mag
싹이	싹/ncn+이/jcs
나서	나/pvg+서/ecs
땅을	땅/ncn+을/jco
덮고	덮/pvg+고/ecs
갈대의	갈대/ncn+의/jcm
눈은	눈/ncn+은/jxc
아직	아직/mag
짧은데	짧/paa+은데/ecs
,	,/sp
이때가	이/mmd+때/ncn+가/jcs
바로	바로/mag
황복이	황복/ncn+이/jcs
올라가고	오르/pvg+아/ecs+가/pvg+고/ecx
싶어하는	싶/px+어/ecx+하/px+는/etm
때라네	때/ncn+라네/ef
.	./sf

생물학자들이	생물/ncn+학자/ncn+들/xsn+이/jcs
호르몬의	호르몬/ncn+의/jcm
분비로	분비/ncn+로/jca
황복이	황복/ncn+이/jcs
충동을	충동/ncn+을/jco
받아	받/pvg+아/ecs
강에	강/ncn+에/jca
나타난다고	나타나/pvg+ㄴ다/ef+고/jcr
해석하고	해석/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
동안	동안/ncn
,	,/sp
시인은	시인/ncn+은/jxc
시적	시/ncn+적/xsn
감각으로	감각/ncn+으로/jca
그것을	그것/npd+을/jco
파악한다	파악/ncpa+하/xsv+ㄴ다/ef
.	./sf

진달래	진달래/ncn
,	,/sp
개나리	개나리/ncn
,	,/sp
살구꽃	살구꽃/ncn
,	,/sp
새소리	새/ncn+소리/ncn
,	,/sp
물소리	물/ncn+소리/ncn
,	,/sp
바람소리	바람/ncn+소리/ncn
,	,/sp
물고기의	물고기/ncn+의/jcm
움직임까지도	움직이/pvg+ㅁ/etn+까지/jxc+도/jxc
시적	시/ncn+적/xsn
감각을	감각/ncn+을/jco
자극하는	자극/ncpa+하/xsv+는/etm
요인이	요인/ncn+이/jcc
된다고	되/pvg+ㄴ다/ef+고/jcr
하니	하/pvg+니/ecs
,	,/sp
시의	시/ncn+의/jcm
세계는	세계/ncn+는/jxc
참으로	참으로/mag
신비로운	신비/ncps+롭/xsm+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

황복의	황복/ncn+의/jcm
전멸을	전멸/ncn+을/jco
막아야	막/pvg+아야/ecx
한다	하/px+ㄴ다/ef
황복은	황복/ncn+은/jxc
우리의	우리/npp+의/jcm
문화재	문화/ncn+재/xsn
자원이고	자원/ncn+이/jp+고/ecc
,	,/sp
식량	식량/ncn
자원이고	자원/ncn+이/jp+고/ecc
,	,/sp
친구이기도	친구/ncn+이/jp+기/etn+도/jxc
하다	하/pvg+다/ef
.	./sf

그들이	그/npp+들/xsn+이/jcs
우리와	우리/npp+와/jca
함께	함께/mag
번영할	번영/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
하기	하/pvg+기/etn
위하여	위하/pvg+어/ecs
우리는	우리/npp+는/jxc
지금까지	지금/ncn+까지/jxc
무슨	무슨/mmd
일을	일/ncn+을/jco
했는지	하/pvg+었/ep+는지/ecs
뒤돌아보자	뒤돌/pvg+아/ecx+보/px+자/ef
.	./sf

황복이	황복/ncn+이/jcs
봄에	봄/ncn+에/jca
우리의	우리/npp+의/jcm
곁으로	곁/ncn+으로/jca
올라오는	오르/pvg+아/ecs+오/pvg+는/etm
것은	것/nbn+은/jxc
산란을	산란/ncn+을/jco
해서	하/pvg+어서/ecs
그들의	그/npp+들/xsn+의/jcm
종족을	종족/ncn+을/jco
유지하기	유지/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
필사적인	필사/ncn+적/xsn+이/jp+ㄴ/etm
행동이다	행동/ncn+이/jp+다/ef
.	./sf

인간은	인간/ncn+은/jxc
자신들의	자신/npp+들/xsn+의/jcm
행복을	행복/ncn+을/jco
위해서	위하/pvg+어서/ecs
잔인한	잔인/ncps+하/xsm+ㄴ/etm
짓을	짓/ncn+을/jco
해도	하/pvg+어도/ecs
되는	되/pvg+는/etm
것인지	것/nbn+이/jp+ㄴ지/ecs
묻고	묻/pvg+고/ecx
싶다	싶/px+다/ef
.	./sf

우리의	우리/npp+의/jcm
잔인한	잔인/ncps+하/xsm+ㄴ/etm
행동은	행동/ncn+은/jxc
따지고	따지/pvg+고/ecx
보면	보/px+면/ecs
어리석은	어리석/paa+은/etm
짓이고	짓/nbn+이/jp+고/ecc
,	,/sp
행복과도	행복/ncn+과/jct+도/jxc
통하지	통하/pvg+지/ecx
않는다	않/px+는다/ef
.	./sf

산란기에는	산란/ncn+기/xsn+에/jca+는/jxc
그들을	그/npp+들/xsn+을/jco
적극적으로	적극/ncn+적/xsn+으로/jca
보호하고	보호/ncpa+하/xsv+고/ecs
,	,/sp
새끼	새끼/ncn
황복은	황복/ncn+은/jxc
절대로	절대/ncn+로/xsa
잡지	잡/pvg+지/ecx
말아야	말/px+아야/ecx
한다	하/px+ㄴ다/ef
.	./sf

강의	강/ncn+의/jcm
하구를	하구/ncn+를/jco
막고	막/pvg+고/ecc
길도	길/ncn+도/jxc
터주지	트/pvg+어/ecx+주/px+지/ecx
않으면	않/px+으면/ecs
황복은	황복/ncn+은/jxc
어디서	어디/npd+서/jca
알을	알/ncn+을/jco
낳으라는	낳/pvg+으라/ef+는/etm
것인가	것/nbn+이/jp+ㄴ가/ef
.	./sf

금강	금강/nq
,	,/sp
안성천	안성천/nq
,	,/sp
영산강	영산강/nq
,	,/sp
낙동강의	낙동강/nq+의/jcm
경우는	경우/ncn+는/jxc
강의	강/ncn+의/jcm
입구	입구/ncn
가까운	가깝/paa+ㄴ/etm
곳에	곳/ncn+에/jca
둑을	둑/ncn+을/jco
쌓아	쌓/pvg+아/ecs
황복이	황복/ncn+이/jcs
산란장으로	산란/ncn+장/xsn+으로/jca
가는	가/pvg+는/etm
길을	길/ncn+을/jco
막아버렸다	막/pvg+아/ecx+버리/px+었/ep+다/ef
.	./sf

한강이나	한강/nq+이나/jcj
만경강은	만경강/nq+은/jxc
또	또/maj
수질오염으로	수질/ncn+오염/ncn+으로/jca
황복이	황복/ncn+이/jcs
산란장으로	산란/ncn+장/xsn+으로/jca
가는	가/pvg+는/etm
것을	것/nbn+을/jco
방해하고	방해/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf

황복이	황복/ncn+이/jcs
자유롭게	자유/ncps+롭/xsm+게/ecs
살아가는	살/pvg+아/ecx+가/px+는/etm
모습을	모습/ncn+을/jco
보고	보/pvg+고/ecs
시를	시/ncn+를/jco
썼던	쓰/pvg+었/ep+던/etm
시대는	시대/ncn+는/jxc
갔다	가/pvg+았/ep+다/ef
.	./sf

황복이	황복/ncn+이/jcs
산란장에	산란/ncn+장/xsn+에/jca
가보지도	가/pvg+아/ecx+보/px+지/ecx+도/jxc
못하고	못하/px+고/ecs
우리의	우리/npp+의/jcm
시야에서	시야/ncn+에서/jca
사라지는	사라지/pvg+는/etm
모습을	모습/ncn+을/jco
보아야	보/pvg+아야/ecx
하니	하/px+니/ecs
참으로	참으로/mag
슬픈	슬프/paa+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf

그때에	그/mmd+때/ncn+에/jca
비하면	비하/pvg+면/ecs
정치	정치/ncn
,	,/sp
경제	경제/ncn
,	,/sp
문화	문화/ncn
,	,/sp
교육	교육/ncn
등	등/nbn
모든	모든/mmd
분야에서	분야/ncn+에서/jca
큰	크/paa+ㄴ/etm
발전을	발전/ncn+을/jco
했다고	하/pvg+었/ep+다/ef+고/jcr
사람들은	사람/ncn+들/xsn+은/jxc
말하고	말/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf

황복을	황복/ncn+을/jco
비롯하여	비롯/ncpa+하/xsv+어/ecs
우리	우리/npp
주변의	주변/ncn+의/jcm
동식물들을	동식물/ncn+들/xsn+을/jco
다	다/mag
없애도	없애/pvg+도/ecs
우리만은	우리/npp+만/jxc+은/jxc
잘	잘/mag
살게	살/pvg+게/ecx
될	되/pvg+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
생각한다면	생각/ncpa+하/xsv+ㄴ다/ef+면/ecs
,	,/sp
우리는	우리/npp+는/jxc
이	이/mmd
순간	순간/ncn
큰	크/paa+ㄴ/etm
착각을	착각/ncn+을/jco
하고	하/pvg+고/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

